/clk X,/clk Logic,/eoc X,/eoc Logic,/out0 X,/out0 Y,/out1 X,/out1 Y,/out2 X,/out2 Y,/out3 X,/out3 Y,/out4 X,/out4 Y,/SW_inp X,/SW_inp Y,/SAR_out_analog X,/SAR_out_analog Y,/Vin X,/Vin Y
3.50046e-07,1,  ,  ,5.1706794888e-09,0,5.1706794888e-09,0,5.1706794888e-09,0,5.1706794888e-09,0,5.1706794888e-09,0,5.1706794888e-09,0.8747853331416524,5.1706794888e-09,0,5.1706794888e-09,0.2146114204939493
3.55067e-07,0,  ,  ,5.1708066065e-09,0,5.1708066065e-09,0,5.1708066065e-09,0,5.1708066065e-09,0,5.1708066065e-09,0,5.1708066065e-09,0.8759239614067867,5.1708066065e-09,0,5.1708066065e-09,0.2146117792965362
3.60046e-07,1,  ,  ,5.1708701654e-09,0,5.1708701654e-09,0,5.1708701654e-09,0,5.1708701654e-09,0,5.1708701654e-09,0,5.1708701654e-09,0.876493250866664,5.1708701654e-09,0,5.1708701654e-09,0.2146119586978183
3.65067e-07,0,  ,  ,5.1709972832e-09,0,5.1709972832e-09,0,5.1709972832e-09,0,5.1709972832e-09,0,5.1709972832e-09,0,5.1709972832e-09,0.8776317809733865,5.1709972832e-09,0,5.1709972832e-09,0.2146123175003599
3.70047e-07,1,  ,  ,5.1710131729e-09,0,5.1710131729e-09,0,5.1710131729e-09,0,5.1710131729e-09,0,5.1710131729e-09,0,5.1710131729e-09,0.8777740926070817,5.1710131729e-09,0,5.1710131729e-09,0.2146123623506755
3.75067e-07,0,  ,  ,5.1710449523e-09,0,5.1710449523e-09,0,5.1710449523e-09,0,5.1710449523e-09,0,5.1710449523e-09,0,5.1710449523e-09,0.8780587124130776,5.1710449523e-09,0,5.1710449523e-09,0.2146124520513052
3.80047e-07,1,  ,  ,5.1710489248e-09,0,5.1710489248e-09,0,5.1710489248e-09,0,5.1710489248e-09,0,5.1710489248e-09,0,5.1710489248e-09,0.8780942900972221,5.1710489248e-09,0,5.1710489248e-09,0.2146124632638838
3.85067e-07,0,  ,  ,5.171050911e-09,0,5.171050911e-09,0,5.171050911e-09,0,5.171050911e-09,0,5.171050911e-09,0,5.171050911e-09,0.8781120787151576,5.171050911e-09,0,5.171050911e-09,0.2146124688701731
3.90047e-07,1,  ,  ,5.1710519041e-09,0,5.1710519041e-09,0,5.1710519041e-09,0,5.1710519041e-09,0,5.1710519041e-09,0,5.1710519041e-09,0.8781209730166256,5.1710519041e-09,0,5.1710519041e-09,0.2146124716733177
3.95067e-07,0,  ,  ,5.1710538903e-09,0,5.1710538903e-09,0,5.1710538903e-09,0,5.1710538903e-09,0,5.1710538903e-09,0,5.1710538903e-09,0.8781387616046366,5.1710538903e-09,0,5.1710538903e-09,0.214612477279607
